question,answer,source,section,type,difficulty
简述完整⼯作流测试的含义。,"8.8 完整⼯作流测试
完成所有节点配置后，我们需要对整个⼯作流进⾏测试。先到⼯作流
编辑界⾯查看⼀下⼯作流整体设计架构，如图8-16所⽰。
图8-16 ⼯作流整体设计架构
从图8-16中可以看到，案例⼯作流包括6个节点：“开始”节点、
get_notes插件节点、⽤于⽂案改写的“⼤模型”节点、⽤于⽣成提⽰词
的“⼤模型_1”节点、“图像⽣成”节点、“结束”节点，依次串联。单击
⼯作流编辑界⾯下⽅","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",完整⼯作流测试,definition,easy
怎样使用创建智能体调⽤⼯作流？,"8.9 创建智能体调⽤⼯作流
为了⽅便⽇常使⽤，我们可以创建⼀个专门的智能体来调⽤这个⼯作
流。返回扣⼦平台主⻚⾯。如图8-18所⽰，单击“⼯作空间”→“项⽬开
发”，然后单击“+创建”按钮，在弹出的快捷菜单中选择“智能体”，打
开“创建智能体”窗⼝，在此置窗⼝上填写智能体的基本信息，设置智
能体名称和智能体功能介绍，并上传个性化图标或者单击星星按钮让
平台⾃动⽣成。
图8-18 创建智能体
单击","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",创建智能体调⽤⼯作流,method,medium
怎样使用智能体开发设计思路？,"9.1 智能体开发设计思路
在当前的内容传播环境下，尤其是在⼩红书、公众号等主流平台，通
过图⽂内容传达信息在各⼤平台展现出了惊⼈的热度与影响⼒。百闻
不如⼀⻅，图⽂内容总是⽐传统⽂字有着更⼤的吸引⼒。当前的AI硬
件已经可以做到实时给图⽚配上对应的中英内容，你是否也想进⾏类
似的体验，把⼿机内所拍的照⽚变为中英对照图⽚，进⽽快速有趣地
吸收英语知识呢？
本案例整个⼯作流主要分为4个核⼼节点（⻅图","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",智能体开发设计思路,method,medium
创建基础⼯作流的实现方法是什么？,"9.2 创建基础⼯作流
让我们开始创建⼯作流。⾸先，登录扣⼦官⽅⽹站，进⼊开发平台，
依次单击“⼯作空间”→“资源库”，单击⻚⾯右上⾓的“+资源”按钮，在
弹出的快捷菜单中单击“⼯作流”，将打开“创建⼯作流”窗⼝，如图9-2
所⽰。
图9-2 在⼯作空间“资源库”中单击“+资源”按钮创建⼯作流
考虑到扣⼦平台正在经历频繁的更新与改进，具体界⾯布局可能会随
着新版本的推出⽽有所更改。即便如此，各功能","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",创建基础⼯作流,method,medium
如何理解配置“图⽚理解”节点？,"9.3 配置“图⽚理解”节点
在⼯作流编辑界⾯中，单击“开始”节点，在弹出的配置⾯板中，添加
输⼊参数变量，如图9-5所⽰，变量名为image_input，变量类型选择
File中的Image。开始节点是必需的，这个界⾯对应智能体对话界⾯，
⽤来接收⽤户的输⼊。
接下来，添加图⽚理解功能。这⾥需要添加imgUnderstand插件。单击
⼯作流编辑界⾯下⽅的“+添加节点”按钮，接着在弹出的窗⼝中单","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置“图⽚理解”节点,definition,medium
为什么需要配置“图⽚理解”节点？,"9.3 配置“图⽚理解”节点
在⼯作流编辑界⾯中，单击“开始”节点，在弹出的配置⾯板中，添加
输⼊参数变量，如图9-5所⽰，变量名为image_input，变量类型选择
File中的Image。开始节点是必需的，这个界⾯对应智能体对话界⾯，
⽤来接收⽤户的输⼊。
接下来，添加图⽚理解功能。这⾥需要添加imgUnderstand插件。单击
⼯作流编辑界⾯下⽅的“+添加节点”按钮，接着在弹出的窗⼝中单","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置“图⽚理解”节点,reason,easy
请解释一下配置“信息提取”节点。,"9.4 配置“信息提取”节点
本节继续添加⼤模型节点到⼯作流编辑界⾯中，如图9-9所⽰。单
击“+添加节点”按钮，在弹出的配置窗⼝中选择“⼤模型”，以添加⼀个
⼤模型节点。
在⼯作流编辑界⾯中，将⼤模型节点重命名为“信息提取”，连接“图⽚
理解”和“信息提取”节点。在“信息提取”节点中，模型可以选择现在⽕
爆的DeepSeek模型，这⾥选择“DeepSeek-R1/250528”，输⼊参数变量
i","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置“信息提取”节点,definition,medium
请解释一下配置“翻译模型”节点。,"9.5 配置“翻译模型”节点
本节将添加⼀个⼤模型节点到本案例的⼯作流中，添加⽅法参看9.4节
添加“信息提取”节点的操作。在⼯作流编辑⻚⾯中，将此⼤模型节点
重命名为“翻译模型”，并将“信息提取”节点和“翻译模型”节点连接起
来。在“翻译模型”节点中，⾸先选择“⾖包·通⽤·Pro”模型，再添加如
图9-12所⽰的5个输⼊参数：line、word1、word2、word3、word4，并
分别引⽤","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置“翻译模型”节点,definition,easy
什么是配置“画板”节点？,"9.6 配置“画板”节点
在⼯作流编辑界⾯中添加“画板”节点，如图9-14所⽰。单击“+添加节
点”按钮，在添加节点配置窗⼝中单击“画板”，从⽽在⼯作流编辑界⾯
中添加⼀个“画板”节点。
接下来在⼯作流编辑界⾯中，把“翻译模型”节点与“画板”节点连接起
来。在画板配置环节，准确的元素引⽤对于最终成图的准确与否起着
决定性的作⽤。⾸先需要添加11个元素，line元素值引⽤“信息提取”节
点输出的li","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置“画板”节点,definition,medium
为什么配置“画板”节点很重要？,"9.6 配置“画板”节点
在⼯作流编辑界⾯中添加“画板”节点，如图9-14所⽰。单击“+添加节
点”按钮，在添加节点配置窗⼝中单击“画板”，从⽽在⼯作流编辑界⾯
中添加⼀个“画板”节点。
接下来在⼯作流编辑界⾯中，把“翻译模型”节点与“画板”节点连接起
来。在画板配置环节，准确的元素引⽤对于最终成图的准确与否起着
决定性的作⽤。⾸先需要添加11个元素，line元素值引⽤“信息提取”节
点输出的li","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置“画板”节点,reason,easy
请说明完整⼯作流测试的概念。,"9.8 完整⼯作流测试
完成所有节点配置后，我们需要对整个⼯作流进⾏测试。先来看⼀下
⼯作流整体设计架构，如图9-18所⽰，6个节点顺序为：“开始”节点
→“图⽚理解”插件节点→“信息提取”⼤模型节点→“翻译模型”⼤模型
节点→“画板”节点→“结束”节点，依次串联。
图9-18 ⼯作流整体架构
接下来，我们需要对整个⼯作流进⾏测试。单击⼯作流编辑⻚⾯下⽅
的“试运⾏”按钮，在弹出的测试⾯板中上传⼀","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",完整⼯作流测试,definition,easy
创建智能体调⽤⼯作流的实现方法是什么？,"9.9 创建智能体调⽤⼯作流
为了⽅便⽇常使⽤，我们可以创建⼀个专门的智能体来调⽤这个⼯作
流。返回扣⼦平台主⻚⾯，如图9-20所⽰，依次单击“⼯作空间”→“项
⽬开发”，单击⻚⾯右上⾓的“+创建”按钮，在出现的菜单中单击智能
体，打开“创建智能体”窗⼝。在“创建智能体”窗⼝中填写智能体的基
本信息，设置智能体名称和智能体功能介绍，并上传个性化图标或者
单击星星按钮让平台⾃动⽣成⼀个图标。
在智能","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",创建智能体调⽤⼯作流,method,easy
请介绍创建基础⼯作流的实现方式。,"10.2 创建基础⼯作流
让我们开始创建⼯作流。⾸先，登录扣⼦官⽅⽹站，进⼊⼯作空间，
然后依次单击“⼯作空间”→“资源库”，单击⻚⾯右上⾓的“+资源”按
钮，在弹出的快捷菜单中单击“⼯作流”，如图10-2所⽰，将会弹出“创
建⼯作流”配置窗⼝。
图10-2 创建新⼯作流⼊⼝
在“创建⼯作流”配置窗⼝中，我们需要填写⼯作流的基本信息，明确
此⼯作流的功能定位和⽤途，如图10-3所⽰。⼯作流名称设置","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",创建基础⼯作流,method,easy
请说明配置⼯作流节点的概念。,"10.3 配置⼯作流节点
在创建⼯作流后，⼯作流编辑界⾯中已经有了“开始”和“结束”两个基
础节点，我们需要在此基础上增加节点并配置必要的参数，这些配置
⼯作将为后续的批量处理奠定基础。
10.3.1 配置“开始”节点
在“开始”节点中，我们只需要传⼊待分析的短视频链接，因此不需要
改变任何默认参数设置。“开始”节点是整个⼯作流的⼊⼝，⽤于接收
⽤户输⼊的抖⾳视频链接，并将其传递给后续节点处理，具","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置⼯作流节点,definition,medium
添加和配置字幕获取“插件”节点有什么区别？,"⽤户在⼯作流开始时输⼊的抖⾳视频链接传递给下载插件，使其能够
根据链接获取视频内容。
图10-7 配置视频下载插件节点
10.3.3 添加和配置字幕获取“插件”节点
视频下载完成后，我们需要从视频中提取⽂字内容，因此需要添加字
幕获取插件。与添加视频下载插件的步骤类似，进⼊“添加插件”⻚
⾯，搜索“字幕获取”，如图10-8所⽰，从结果列表中选择并添加
generate_video_captions","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",添加和配置字幕获取“插件”节点,comparison,hard
如何理解配置“结束”节点？,"特点，更具吸引⼒和传播性。
10.3.6 配置“结束”节点
最后，我们需要配置“结束”节点，将⼤模型⽣成的⼆次创作内容作为
整个⼯作流的输出结果。单击“结束”节点打开其配置窗⼝，如图10-14
所⽰，设置“结束”节点的输出变量名为output，变量值为String类型的
⼤模型_1节点的output值。这样，⼯作流执⾏完成后，⽤户就能直接
获取到经过专业分析和创意改写的全新⽂案内容。","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置“结束”节点,definition,easy
配置“结束”节点的主要内容是什么？,"特点，更具吸引⼒和传播性。
10.3.6 配置“结束”节点
最后，我们需要配置“结束”节点，将⼤模型⽣成的⼆次创作内容作为
整个⼯作流的输出结果。单击“结束”节点打开其配置窗⼝，如图10-14
所⽰，设置“结束”节点的输出变量名为output，变量值为String类型的
⼤模型_1节点的output值。这样，⼯作流执⾏完成后，⽤户就能直接
获取到经过专业分析和创意改写的全新⽂案内容。","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",配置“结束”节点,summary,medium
智能体测试的定义是什么？,"10.4 智能体测试
完成⼯作流的搭建后，我们需要进⾏测试，验证其功能是否正常。单
击下⽅⼯具栏的“试运⾏”按钮，在弹出的测试界⾯中输⼊⼀个抖⾳分
享链接，可以是抖⾳⾃带的复杂分享链接，也可以是仅包含URL的短
链接。然后再次单击测试界⾯下⽅的“试运⾏”按钮，如图10-16所⽰，
系统将开始执⾏整个⼯作流程。
执⾏完成后，我们将得到如图10-17所⽰的测试结果。需要注意，结果
中的“\n”为换⾏标","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",智能体测试,definition,medium
什么是项⽬⼩结？,"10.5 项⽬⼩结
本章介绍的⼯作流不仅可以独⽴使⽤，还可以进⼀步与扣⼦智能体集
成，通过简单的对话即可触发整个⽂案分析与创作任务。这种集成⽅
式使得⽤户⽆须了解复杂的技术细节，只需通过⾃然语⾔交互，即可
获取专业的⽂案分析和创意改写服务。此外，这⼀⼯作流还可以扩展
⽤于完成更多复杂的⼯作任务，为内容创作者提供更丰富的灵感和参
考，辅助⽣成相关主题内容，实现真正意义上的智能化内容运营。
通过这⼀⾃","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",项⽬⼩结,definition,medium
开发第11章 实战案例：智能室内设计的步骤有哪些？,"第11章 实战案例：智能室内设计
师
室内装修设计是⼀个专业性强且容易踩坑的领域。通过构建⼀套基于
扣⼦平台的智能⼯作流，我们可以实现室内设计的智能化⽣成，并将
其封装成智能体，为有装修需求的客户提供服务。更重要的是，我们
将通过数据库功能收集并管理客户信息，形成有价值的销售线索。
本章项⽬具有两个核⼼⽬标：⼀是在智能体答复客户咨询的过程中，
利⽤AI技术快速⽣成⾼质量的家装设计效果图；⼆是在客户","扣子开发AI Agent智能体应用 (宋立桓 王东健 陈铭毅 程东升) (z-library.sk, 1lib.sk, z-lib.sk)",第11章 实战案例：智能室内设计,method,medium
